Historias,Energy(eV),Seed1,Seed2,Geometria,Material,EABS,Erro EABS,Simuladas
200000.0,40000.0,527007453,410865537,phantom.geo,CdTe.mat,2143.46,17.4903,200000.0
200000.0,50000.0,2003707133,858672133,phantom.geo,CdTe.mat,1804.29,15.8542,200000.0
200000.0,60000.0,237829364,855459867,phantom.geo,CdTe.mat,1798.05,15.19885,200000.0
200000.0,70000.0,1425350955,2144271133,phantom.geo,CdTe.mat,1923.2,14.90925,200000.0
200000.0,80000.0,1714529044,845823069,phantom.geo,CdTe.mat,2164.04,15.5629,200000.0
200000.0,90000.0,598895668,2141058867,phantom.geo,CdTe.mat,2460.77,16.7837,200000.0
200000.0,100000.0,547546943,426926867,phantom.geo,CdTe.mat,2786.29,18.4156,200000.0
200000.0,110000.0,1084824141,1280780601,phantom.geo,CdTe.mat,3147.51,20.24715,200000.0
200000.0,120000.0,485928473,847429202,phantom.geo,CdTe.mat,3496.78,22.3761,200000.0
200000.0,130000.0,1084824141,418896202,phantom.geo,CdTe.mat,3911.76,24.9379,200000.0
200000.0,140000.0,2137213818,842610803,phantom.geo,CdTe.mat,4262.92,27.2152,200000.0
200000.0,150000.0,217289874,1702889069,phantom.geo,CdTe.mat,4658.23,29.85105,200000.0
200000.0,40000.0,289178089,1702889069,phantom.geo,Si.mat,2165.08,17.5836,200000.0
200000.0,50000.0,2116674328,858672133,phantom.geo,Si.mat,1820.03,15.94485,200000.0
200000.0,60000.0,1528048405,406047138,phantom.geo,Si.mat,1796.92,15.0307,200000.0
200000.0,70000.0,2013976878,412471670,phantom.geo,Si.mat,1943.81,15.12105,200000.0
200000.0,80000.0,268638599,418896202,phantom.geo,Si.mat,2159.71,15.5754,200000.0
200000.0,90000.0,1208061081,1696464537,phantom.geo,Si.mat,,,
200000.0,100000.0,485928473,425320734,phantom.geo,Si.mat,,,
200000.0,110000.0,1166982101,412471670,phantom.geo,Si.mat,,,
200000.0,120000.0,176210894,2145877266,phantom.geo,Si.mat,,,
200000.0,130000.0,1528048405,426926867,phantom.geo,Si.mat,,,
200000.0,140000.0,2116674328,401228739,phantom.geo,Si.mat,,,
200000.0,150000.0,1528048405,1269537670,phantom.geo,Si.mat,,,
